,Open,High,Low,Close,Adj Close,Volume,lag1,lag2,lag3,lag7,lag10,SMA_10,SMA_50,returns
817,162.44000244140625,165.0,161.91000366210938,164.89999389648438,164.02447509765625,68749800,162.36000061035156,160.77000427246094,157.64999389648438,157.8300018310547,155.0,159.76499786376954,151.4627993774414,0.015644205941022005
818,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,165.28775024414062,56976200,164.89999389648438,162.36000061035156,160.77000427246094,158.92999267578125,157.39999389648438,160.64199829101562,152.02879943847657,0.00770166355044366
819,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,164.75062561035156,46278300,166.1699981689453,164.89999389648438,162.36000061035156,160.25,159.27999877929688,161.2769989013672,152.51919952392578,-0.003249643690696802
820,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,162.89053344726562,51511700,165.6300048828125,166.1699981689453,164.89999389648438,158.27999877929688,157.8300018310547,161.8699981689453,152.94379943847656,-0.011290287513422759
821,162.42999267578125,164.9600067138672,162.0,164.66000366210938,163.78578186035156,45390100,163.75999450683594,165.6300048828125,166.1699981689453,157.64999389648438,158.92999267578125,162.44299926757813,153.39979949951172,0.005495903672834368
822,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,161.1697235107422,47716900,164.66000366210938,163.75999450683594,165.6300048828125,160.77000427246094,160.25,162.62099914550782,153.76119934082033,-0.01597233586979263
823,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,159.94625854492188,47644200,162.02999877929688,164.66000366210938,163.75999450683594,162.36000061035156,158.27999877929688,162.8729995727539,154.05859954833986,-0.007591160506113748
824,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,159.25,50133100,160.8000030517578,162.02999877929688,164.66000366210938,164.89999389648438,157.64999389648438,163.11800079345704,154.40059967041014,-0.004353214769634461
825,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,164.68096923828125,68445600,160.10000610351562,160.8000030517578,162.02999877929688,166.1699981689453,160.77000427246094,163.5970001220703,154.82599975585939,0.03410363052421039
826,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,164.3328399658203,49386500,165.55999755859375,160.10000610351562,160.8000030517578,165.6300048828125,162.36000061035156,163.8820007324219,155.22160003662108,-0.0021139819394035975
